example_id                                                                                     | status  | run_time               |
./spec/components/budgets/budget_component_spec.rb[1:1:2]                                      | passed  | 0.50282 seconds        |
./spec/components/budgets/executions/filters_component_spec.rb[1:1:1]                          | passed  | 0.28581 seconds        |
./spec/components/budgets/investment_component_spec.rb[1:1]                                    | passed  | 0.65087 seconds        |
./spec/components/budgets/investment_component_spec.rb[1:2]                                    | passed  | 0.20181 seconds        |
./spec/components/budgets/investment_component_spec.rb[1:3]                                    | passed  | 0.19895 seconds        |
./spec/components/budgets/investment_component_spec.rb[1:4]                                    | passed  | 0.21094 seconds        |
./spec/components/budgets/investment_component_spec.rb[1:5]                                    | passed  | 0.18554 seconds        |
./spec/components/budgets/investments/form_component_spec.rb[1:1:1]                            | passed  | 0.27594 seconds        |
./spec/components/budgets/investments/form_component_spec.rb[1:1:2]                            | passed  | 1.28 seconds           |
./spec/components/budgets/investments/votes_component_spec.rb[1:1:1:1]                         | passed  | 0.20691 seconds        |
./spec/components/budgets/investments/votes_component_spec.rb[1:1:1:2]                         | passed  | 0.18137 seconds        |
./spec/components/budgets/investments/votes_component_spec.rb[1:1:1:3]                         | passed  | 0.20717 seconds        |
./spec/components/budgets/investments_list_component_spec.rb[1:1:1]                            | passed  | 0.47828 seconds        |
./spec/components/budgets/investments_list_component_spec.rb[1:1:2]                            | passed  | 0.45364 seconds        |
./spec/components/budgets/investments_list_component_spec.rb[1:1:3]                            | passed  | 0.46518 seconds        |
./spec/components/budgets/investments_list_component_spec.rb[1:1:4]                            | passed  | 0.45779 seconds        |
./spec/components/budgets/investments_list_component_spec.rb[1:1:5]                            | passed  | 0.4802 seconds         |
./spec/components/budgets/investments_list_component_spec.rb[1:1:6]                            | passed  | 0.49714 seconds        |
./spec/components/budgets/investments_list_component_spec.rb[1:2:1]                            | passed  | 0.23926 seconds        |
./spec/components/budgets/investments_list_component_spec.rb[1:2:2]                            | passed  | 0.45732 seconds        |
./spec/components/budgets/investments_list_component_spec.rb[1:2:3]                            | passed  | 0.37301 seconds        |
./spec/components/budgets/investments_list_component_spec.rb[1:2:4]                            | passed  | 0.32785 seconds        |
./spec/components/budgets/investments_list_component_spec.rb[1:2:5]                            | passed  | 0.43133 seconds        |
./spec/components/budgets/investments_list_component_spec.rb[1:3:1]                            | passed  | 0.21323 seconds        |
./spec/components/budgets/investments_list_component_spec.rb[1:3:2]                            | passed  | 0.46306 seconds        |
./spec/components/budgets/investments_list_component_spec.rb[1:3:3:1]                          | passed  | 0.23986 seconds        |
./spec/components/budgets/investments_list_component_spec.rb[1:3:3:2]                          | passed  | 0.45285 seconds        |
./spec/components/budgets/phases_component_spec.rb[1:1]                                        | passed  | 0.44583 seconds        |
./spec/components/budgets/subheader_component_spec.rb[1:1]                                     | passed  | 0.14768 seconds        |
./spec/components/budgets/subheader_component_spec.rb[1:2:1]                                   | passed  | 0.24508 seconds        |
./spec/components/budgets/subheader_component_spec.rb[1:2:2]                                   | passed  | 0.22777 seconds        |
./spec/components/budgets/subheader_component_spec.rb[1:2:3]                                   | passed  | 0.22803 seconds        |
./spec/components/budgets/subheader_component_spec.rb[1:3:1]                                   | passed  | 0.17331 seconds        |
./spec/components/budgets/subheader_component_spec.rb[1:3:2]                                   | passed  | 0.18313 seconds        |
./spec/components/budgets/supports_info_component_spec.rb[1:1]                                 | passed  | 0.1571 seconds         |
./spec/components/budgets/supports_info_component_spec.rb[1:2]                                 | passed  | 0.15464 seconds        |
./spec/components/budgets/supports_info_component_spec.rb[1:3]                                 | passed  | 0.13522 seconds        |
./spec/components/budgets/supports_info_component_spec.rb[1:4:1]                               | passed  | 0.13382 seconds        |
./spec/components/budgets/supports_info_component_spec.rb[1:4:2:1]                             | passed  | 0.36396 seconds        |
./spec/components/budgets/supports_info_component_spec.rb[1:4:2:2]                             | passed  | 0.5227 seconds         |
./spec/components/layout/locale_switcher_component_spec.rb[1:1:1]                              | passed  | 0.00636 seconds        |
./spec/components/layout/locale_switcher_component_spec.rb[1:2:1]                              | passed  | 0.00968 seconds        |
./spec/components/layout/locale_switcher_component_spec.rb[1:2:2]                              | passed  | 0.0088 seconds         |
./spec/components/layout/locale_switcher_component_spec.rb[1:2:3:1]                            | passed  | 0.00912 seconds        |
./spec/components/layout/locale_switcher_component_spec.rb[1:3:1]                              | passed  | 0.00926 seconds        |
./spec/components/layout/locale_switcher_component_spec.rb[1:3:2]                              | passed  | 0.00843 seconds        |
./spec/components/layout/social_component_spec.rb[1:1:1]                                       | passed  | 0.013 seconds          |
./spec/components/layout/social_component_spec.rb[1:1:2]                                       | passed  | 0.02234 seconds        |
./spec/components/layout/social_component_spec.rb[1:1:3]                                       | passed  | 0.0185 seconds         |
./spec/components/layout/top_links_component_spec.rb[1:1:1]                                    | passed  | 0.00999 seconds        |
./spec/components/layout/top_links_component_spec.rb[1:1:2]                                    | passed  | 0.00606 seconds        |
./spec/components/machine_learning/comments_summary_component_spec.rb[1:1]                     | passed  | 0.01649 seconds        |
./spec/components/machine_learning/comments_summary_component_spec.rb[1:2]                     | passed  | 0.01353 seconds        |
./spec/components/machine_learning/comments_summary_component_spec.rb[1:3]                     | passed  | 0.01394 seconds        |
./spec/components/machine_learning/comments_summary_component_spec.rb[1:4]                     | passed  | 0.01095 seconds        |
./spec/components/pages/help/section_component_spec.rb[1:1:1]                                  | passed  | 0.00671 seconds        |
./spec/components/pages/help/section_component_spec.rb[1:1:2]                                  | passed  | 0.00682 seconds        |
./spec/components/pages/help/section_component_spec.rb[1:1:3]                                  | passed  | 0.00657 seconds        |
./spec/components/pages/help/section_component_spec.rb[1:2:1]                                  | passed  | 0.01045 seconds        |
./spec/components/pages/help/section_component_spec.rb[1:2:2]                                  | passed  | 0.01052 seconds        |
./spec/components/relationable/related_list_component_spec.rb[1:1]                             | passed  | 0.16579 seconds        |
./spec/components/relationable/related_list_component_spec.rb[1:2]                             | passed  | 0.17093 seconds        |
./spec/components/relationable/related_list_component_spec.rb[1:3]                             | passed  | 0.18472 seconds        |
./spec/components/sdg/goals/help_page_component_spec.rb[1:1]                                   | passed  | 0.01362 seconds        |
./spec/components/sdg/goals/help_page_component_spec.rb[1:2]                                   | passed  | 0.14915 seconds        |
./spec/components/sdg/goals/icon_component_spec.rb[1:1:1]                                      | passed  | 0.00584 seconds        |
./spec/components/sdg/goals/icon_component_spec.rb[1:1:2]                                      | passed  | 0.01744 seconds        |
./spec/components/sdg/goals/icon_component_spec.rb[1:1:3]                                      | passed  | 0.01215 seconds        |
./spec/components/sdg/goals/index_component_spec.rb[1:1:1]                                     | passed  | 0.02935 seconds        |
